date,mkt_chg,base,score_raw,score_eff,action_ratio,final_multiplier,amount_before_cap,amount_final,channel,cash,position,market_temp,market_mode,trend_strong,current_gain,holding_days,fee_rate,net_gain
2024-01-12,-1.0823,36.88,36.88,42.45,0.0,0.75,86.42,0.0,A,1000,0.0,-12.42,defense,False,0.0,0,0.015,0.0
2024-01-15,0.0277,37.5,37.5,42.86,0.0,0.75,88.01,0.0,A,1000,0.0,-11.7,defense,False,0.0,0,0.015,0.0
2024-01-16,-0.1759,37.5,37.5,42.86,0.0,0.75,88.01,0.0,A,1000,0.0,-10.67,defense,False,0.0,0,0.015,0.0
2024-01-17,-1.7836,31.62,31.62,38.74,0.0,0.75,72.35,0.0,A,1000,0.0,-13.58,defense,False,0.0,0,0.015,0.0
2024-01-18,1.1823,56.82,56.82,53.19,0.0,0.75,131.32,0.0,A,1000,0.0,-10.3,defense,False,0.0,0,0.015,0.0
2024-01-19,-0.2468,37.5,37.5,42.86,0.0,0.75,88.01,0.0,A,1000,0.0,-11.45,defense,False,0.0,0,0.015,0.0
2024-01-22,-2.6512,25.12,25.12,33.44,0.0,0.75,53.85,0.0,A,1000,0.0,-13.14,defense,False,0.0,0,0.015,0.0
2024-01-23,1.3399,58.4,58.4,53.87,0.0,0.75,134.35,0.0,A,1000,0.0,-11.46,defense,False,0.0,0,0.015,0.0
2024-01-24,0.2153,37.5,37.5,42.86,0.0,0.75,88.01,0.0,A,1000,0.0,-9.36,defense,False,0.0,0,0.015,0.0
2024-01-25,1.8277,63.28,63.28,55.86,0.0,0.75,143.29,0.0,A,1000,0.0,-7.71,defense,False,0.0,0,0.015,0.0
2024-01-26,-1.6168,32.87,32.87,39.67,0.0,0.75,75.78,0.0,A,1000,0.0,-11.93,defense,False,0.0,0,0.015,0.0
2024-01-29,-1.907,30.7,30.7,38.04,0.0,0.75,69.78,0.0,A,1000,0.0,-15.44,defense,False,0.0,0,0.015,0.0
2024-01-30,-2.2085,22.75,47.4,48.66,0.0,0.6,111.71,0.0,A,1000,0.0,-16.5,defense,False,0.0,0,0.015,0.0
